word_id,arabic_word,subtoken_word,root,morphology,pos,lemma,verse_id,sura,ayah,word_position
6142,فانصرنا,ٱنصُرْ,نصر,IMPV|VF:1|2MS,V,نَصَرَ,293,2,286,46
6260,وهب,هَبْ,وهب,IMPV|VF:1|2MS,V,وَهَبَ,301,3,8,8
6311,قل,قُل,قول,IMPV|VF:1|2MS,V,قالَ,305,3,12,1
6373,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,308,3,15,1
6402,فاغفر,ٱغْفِرْ,غفر,IMPV|VF:1|2MS,V,غَفَرَ,309,3,16,6
6405,وقنا,قِ,وقي,IMPV|VF:1|2MS,V,وَقَى,309,3,16,9
6460,فقل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,313,3,20,3
6466,وقل,قُل,قول,IMPV|VF:1|2MS,V,قالَ,313,3,20,9
6499,فبشرهم,بَشِّرْ,بشر,IMPV|VF:2|2MS,V,بُشِّرَ,314,3,21,16
6563,قل,قُلِ,قول,IMPV|VF:1|2MS,V,قالَ,319,3,26,1
6636,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,322,3,29,1
6684,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,324,3,31,1
6689,فاتبعونى,ٱتَّبِعُ,تبع,IMPV|VF:8|2MP,V,اتَّبَعَ,324,3,31,6
6698,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,325,3,32,1
6699,اطيعوا,أَطِيعُ,طوع,IMPV|VF:4|2MP,V,أَطاعَ,325,3,32,2
6739,فتقبل,تَقَبَّلْ,قبل,IMPV|VF:5|2MS,V,تَقَبَّلَ,328,3,35,13
6809,هب,هَبْ,وهب,IMPV|VF:1|2MS,V,وَهَبَ,331,3,38,7
6857,اجعل,ٱجْعَل,جعل,IMPV|VF:1|2MS,V,جَعَلَ,334,3,41,3
6869,واذكر,ٱذْكُر,ذكر,IMPV|VF:1|2MS,V,ذَكَرَ,334,3,41,15
6872,وسبح,سَبِّحْ,سبح,IMPV|VF:2|2MS,V,سَبَّحَ,334,3,41,18
6888,اقنتى,ٱقْنُتِ,قنت,IMPV|VF:1|2FS,V,يَقْنُتْ,336,3,43,2
6890,واسجدى,ٱسْجُدِ,سجد,IMPV|VF:1|2FS,V,سَجَدَ,336,3,43,4
6891,واركعى,ٱرْكَعِ,ركع,IMPV|VF:1|2FS,V,يَرْكَعُ,336,3,43,5
6962,كن,كُن,كون,IMPV|VF:1|2MS,V,كانَ,340,3,47,22
7030,فاتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,343,3,50,17
7032,واطيعون,أَطِيعُ,طوع,IMPV|VF:4|2MP,V,أَطاعَ,343,3,50,19
7037,فاعبدوه,ٱعْبُدُ,عبد,IMPV|VF:1|2MP,V,عَبَدَ,344,3,51,5
7058,واشهد,ٱشْهَدْ,شهد,IMPV|VF:1|2MS,V,شَهِدَ,345,3,52,18
7067,فاكتبنا,ٱكْتُبْ,كتب,IMPV|VF:1|2MS,V,كَتَبَ,346,3,53,7
7150,كن,كُن,كون,IMPV|VF:1|2MS,V,كانَ,352,3,59,14
